label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20

A,0.217319638,0.756096482,-2.79E-07,0.279644787,0.699220896,-0.018274892,0.321374834,0.605766892,-0.02225456,0.336978465,0.527754843,-0.028575139,0.338885337,0.458264917,-0.031753894,0.285002708,0.543245792,0.005247347,0.306889981,0.489154786,-0.027748855,0.305990249,0.549945414,-0.047274422,0.300105363,0.607909799,-0.052333333,0.247478485,0.548938096,0.003590275,0.271101892,0.49537316,-0.032010883,0.268898576,0.574177265,-0.041360367,0.263436794,0.63775897,-0.03634686,0.206133947,0.562631488,-0.004490121,0.230783835,0.513373792,-0.039887466,0.236609504,0.589903951,-0.034203202,0.236158878,0.647623777,-0.017782113,0.162278563,0.584434748,-0.014147013,0.188863575,0.546783745,-0.036283512,0.200485662,0.592243671,-0.028949659,0.200770229,0.629153073,-0.015229284
A,0.206950471,0.749955952,-2.02E-07,0.255285472,0.705749273,-0.013719114,0.286915869,0.63530761,-0.017073389,0.298076868,0.571434617,-0.022573283,0.295337051,0.515553594,-0.026483204,0.260745138,0.586671889,0.004534569,0.274151832,0.54135716,-0.02188349,0.274046183,0.578473449,-0.038216773,0.270469964,0.620381176,-0.043040227,0.232005313,0.591517866,0.002402796,0.247020349,0.543913722,-0.026812369,0.245468467,0.603943646,-0.035658281,0.242293373,0.654741883,-0.032454357,0.199573204,0.603101134,-0.004565279,0.216148302,0.560612261,-0.034721252,0.220410839,0.622422636,-0.030948028,0.220587671,0.668563306,-0.017837241,0.163865179,0.621469676,-0.012490303,0.183055311,0.590740919,-0.031299252,0.191307321,0.626020253,-0.025560826,0.190837204,0.653375447,-0.014667594
A,0.304869622,0.534237206,-2.73E-07,0.359842509,0.517576754,-0.017378226,0.40773958,0.463420272,-0.021770433,0.432209522,0.407623231,-0.026812075,0.445607394,0.355956316,-0.029888896,0.394970238,0.40121907,0.001417766,0.412972212,0.374157578,-0.024134997,0.397111475,0.420097888,-0.039846603,0.381713152,0.461906731,-0.044173408,0.364971936,0.39230749,0.002602215,0.382920951,0.368164092,-0.025938997,0.364455998,0.426386714,-0.034429394,0.350298733,0.474162757,-0.031058813,0.333033085,0.390056551,-0.001083796,0.349770844,0.368445694,-0.03008136,0.338205367,0.428105444,-0.027195401,0.329764515,0.474037021,-0.015083184,0.299364865,0.392986357,-0.006002928,0.315302432,0.37546128,-0.026065106,0.31272006,0.417896807,-0.022150654,0.309276611,0.449709415,-0.011957295
A,0.227392435,0.573253155,-1.89E-07,0.266210824,0.550091267,-0.010388591,0.295511782,0.502223611,-0.012076217,0.30682838,0.455260962,-0.014780638,0.306869298,0.415784985,-0.016123449,0.278794438,0.464235514,0.002732727,0.287676722,0.430943221,-0.015252369,0.281140268,0.460821092,-0.026379617,0.27441439,0.491728604,-0.029673327,0.256498635,0.465898544,0.001932196,0.265077293,0.435703397,-0.018024439,0.258737981,0.476816893,-0.024363048,0.254425228,0.511029899,-0.022449538,0.233459815,0.472246587,-0.002188113,0.241855919,0.446899325,-0.022455169,0.24016133,0.489206433,-0.019479625,0.239421591,0.520308435,-0.010610622,0.209005639,0.482623428,-0.007114967,0.218715027,0.464302361,-0.020020494,0.221319869,0.49315697,-0.015641481,0.222324267,0.514487505,-0.007786
A,0.194053054,0.651487589,-4.45E-07,0.290027022,0.569288492,-0.04080702,0.352351367,0.426457375,-0.054907192,0.377839237,0.302213103,-0.069643237,0.370689809,0.191068292,-0.078472555,0.292616278,0.314016461,-0.010837497,0.32805559,0.255316228,-0.07489226,0.324694306,0.357951403,-0.111839913,0.316053867,0.445165932,-0.123116046,0.230477437,0.315444082,-0.008577167,0.270634353,0.27655983,-0.081428051,0.26746583,0.410654038,-0.098926254,0.265120268,0.509662271,-0.08960633,0.168253571,0.334323317,-0.017684123,0.209062055,0.315751821,-0.085247703,0.218046457,0.439836919,-0.07617458,0.22335574,0.522381067,-0.047294904,0.105109274,0.364017576,-0.030561104,0.148945436,0.350906104,-0.072235748,0.16630052,0.434698433,-0.0635285,0.173446089,0.484195173,-0.0419189
B,0.25074169,0.796060085,4.72E-07,0.318363845,0.74813354,-0.032440919,0.368283778,0.659820855,-0.041986827,0.336628288,0.587048233,-0.049031328,0.287842631,0.580826461,-0.055936962,0.349889368,0.517938375,-0.011506136,0.357928663,0.411219299,-0.026457831,0.359607667,0.345602214,-0.042791307,0.359700799,0.286093414,-0.056033116,0.307318747,0.504407227,-0.012073839,0.321534783,0.390150428,-0.024089159,0.327948332,0.312453449,-0.041040193,0.331794709,0.244622082,-0.054061178,0.268812031,0.516630054,-0.017418804,0.281868935,0.410522461,-0.030677782,0.290503085,0.340389609,-0.046313833,0.295486867,0.279667765,-0.057120871,0.228064835,0.549684346,-0.026679862,0.238738477,0.465144783,-0.037650727,0.249041885,0.414188027,-0.042717598,0.256715655,0.367364228,-0.046665162
B,0.271908343,0.783791721,3.07E-07,0.323001027,0.745034695,-0.021675618,0.357616603,0.676301718,-0.026887616,0.339274734,0.62113899,-0.030836683,0.302798778,0.618797243,-0.034705948,0.341083407,0.572272956,-0.005308587,0.344312072,0.49323836,-0.014982982,0.342781186,0.445039213,-0.02696503,0.339469314,0.400807947,-0.036864258,0.310503721,0.563373506,-0.005733326,0.317536771,0.480035663,-0.013097252,0.319226742,0.423528939,-0.024775822,0.318062782,0.374529421,-0.034043722,0.282956064,0.571740508,-0.009468859,0.28983897,0.494995415,-0.016830422,0.293802112,0.446123093,-0.025912872,0.293896973,0.405641496,-0.032367125,0.25441581,0.594088733,-0.016167836,0.260238975,0.531783521,-0.021760814,0.267021596,0.493663609,-0.023797914,0.271274924,0.461013734,-0.025518958
B,0.288374722,0.801613033,2.59E-07,0.331592858,0.76779002,-0.019975131,0.361703813,0.70388937,-0.025554691,0.342267364,0.654890418,-0.029925801,0.308921337,0.653087735,-0.034538366,0.343743682,0.604346454,-0.008548606,0.342790604,0.531480789,-0.018635923,0.338407665,0.486783385,-0.029899079,0.332511008,0.446346879,-0.039149866,0.31496191,0.598067045,-0.009722877,0.317538947,0.519913256,-0.018012363,0.315760285,0.467054993,-0.029546153,0.311727643,0.421353936,-0.038602203,0.289898843,0.608210742,-0.013645752,0.293172717,0.536585271,-0.021868188,0.293909311,0.491206706,-0.031091368,0.291733801,0.45295009,-0.037723508,0.264016032,0.631828666,-0.020152587,0.266400576,0.574346244,-0.026902977,0.270649225,0.539017737,-0.029789291,0.273357093,0.507616103,-0.032103192
B,0.189188853,0.826617301,3.68E-07,0.238514125,0.782396078,-0.030025806,0.269794077,0.708062351,-0.041760385,0.239914045,0.648306608,-0.051174182,0.198060945,0.64801538,-0.060584724,0.252600849,0.584637105,-0.017745696,0.249173522,0.493217438,-0.03428803,0.242046118,0.436746478,-0.050785121,0.232737899,0.386588633,-0.06349653,0.21555613,0.576688409,-0.018135702,0.215460867,0.47759667,-0.032117676,0.2108666,0.410508096,-0.048045795,0.204644784,0.353078812,-0.05962947,0.1827939,0.590753376,-0.022299455,0.18310824,0.497463137,-0.03548865,0.183078289,0.437349081,-0.048058029,0.180474639,0.386259168,-0.056375645,0.149613291,0.622471511,-0.029977974,0.151676953,0.549300551,-0.040569756,0.155852377,0.503359556,-0.044770025,0.158904046,0.462352544,-0.047453169
